,tweets
1322,['@craftygooner Are Syrian’s fleeing war not refugees?']
1323,['In #Denmark Syrian refugees have suffered months of torment after the government falsely claimed parts of Syria were safe &amp; started revoking refugees’ residency rights. Syrians now fear being forced to return to the Syrian regime that tortures &amp; kills its opposition with impunity']
1324,"['And as anti-refugee rhetoric rises in Turkey ahead of next year’s election, the past months have been marked by a series of racist attacks against Syrian refugees by members of the public.']"
1325,"['For millions of Syrian refugees in #Turkey, the future is anxiously uncertain as Erdogan’s government enacts increasingly stringent controls on where Syrian refugees can live and is threatening mass deportations to northern Syria, an area blighted by bombing &amp; humanitarian crises']"
1326,['Reported electricity outage in the Conference Palace during a meeting between #Russia|n and regime delegations discussing return of Syrian refugees.\n\n#Assad worshippers still believe there is still a chance they will win?\n\n#Syria https://t.co/4ArjDJnMIB']
1327,"['survivors of slaughterhouses such as #Sednaya, families of detainees,millions of #Syrian #refugees &amp; #displaced ,organisers of a ‘revolution of dignity’in 2011, are thinking as they read this?#SyrianRevolution https://t.co/FRSwjetOjp']"
1328,"[""@jasem_diaa @MarinSanna @AnnikaSaarikko @liandersson @PetteriOrpo LEAVE TURKEY IMMEDIATELY, WE DON'T WANT YOU.  5 million Syrian refugees have fucked our whole quality of life.  We don't want you swarms of parasites #turkeyisnotyourrefugeecamp""]"
1329,['@Lane2Hysteria @mikegalsworthy Yes off the main point. Just replying to Marr’s assertion that Syria was where Putin first developed his murderous strategy. Not pitting Syrian refugees against Chechen but correcting historical fact.']
1330,"[""@ibtoniathey @SimonJo53471688 @Femi_Sorry And why do you think Afgani, Kurdish, Yemeni, Syrian and Iraqi claimants, with family in the UK, aren't able to apply via an online system, from another safe country, as Ukrainians are? What in your view, separates those groups of refugees, from Ukrainian refugees?""]"
1331,['Lebanon’s large Syrian refugee population has long given up on their futures in the country https://t.co/pCPfLsfTvn']
1332,"[""@ArunSAhluwalia @Femi_Sorry Syrian/Afghan refugees can only claim asylum once they get here, they have no legal route to obtain a visa outside of the country they are escaping from. With no online visa system like Ukraine how are they to apply for a visa?\n\nGet a job, it'll leave you less time to tweet BS""]"
1333,"[""While refugees' needs in #Lebanon continue to rise, the ongoing crisis is affecting everyone, including very vulnerable Lebanese who need our support.\n\n📰 Interesting read by @ajnaddaff for @ForeignPolicy:\n\nhttps://t.co/s8X5TE7C7w""]"
1334,"['@oxford_guthier @Femi_Sorry We are already taking Syrian refugees from the camps, we are also taking refugees from Afghanistan. The race card won’t work here.']"
1335,['@StephenNolan @BBCSounds Inviting Ukranians in your home is so kind and thoughtful but we dont invite any Syrian or Afghan refugees into our home at all.... I dont understand why']
1336,['Denmark has revoked residence permits for hundreds of Syrian refugees\n\nhttps://t.co/4k4sZSDCwF']
1337,"[""Externalization in action.\nThere's an article to be written about the way Egypt and the EU prevented the exodus of Syrian refugees by boat that was anticipated in 2015-16.\n@Bur_ski https://t.co/VwmCmNnfd0""]"
1338,"['Donate your Qurbani to Syrian and Palestinian Refugees in need across Lebanon from £236 this Eid ul-Adha.\n\nTo find out more how you can meat your obligation and fulfil their hunger, head over to https://t.co/1XjoP3VIUU. https://t.co/jiJPj2IrCx']"
1339,"[""Ukrainian refugees can apply for asylum online, but it's slow.\nSyrian and Afghan refugees can't apply online. \nCan't see either a fair or good enough policy here🤷\u200d♀️\n#Ukraine #Syria #Afghanistan #refugees #slow""]"
1340,['#RefugeesWelcome 5/10\n\nPosting a page a day from an interview of a Syrian refugee by @ledbydonkeys #RwandaNotInMyName #Rwanda #StopTheFlights #refugees #worldrefugeeday https://t.co/PMr496ybEb']
1341,['@oxford_guthier @Rob_E_Dresser @Femi_Sorry Would you agree to only let in Ukrainian and Syrian refugees and reject anyone else?']
1342,['@Rob_E_Dresser @Femi_Sorry Desperate people will do desperate things. These refugees though are not burglars. They seek sanctuary and safety. \n\nWe are already making things easier for Ukrainians to apply for entry. Why can we not do the same for Syrian refugees? Is it because of their skin colour?']
1343,"['@dylanhead94 Their stated objective is to make a dumping ground for some of the few million Syrian refugees they’ve been hosting for years. \n\nIn practice, they’re probably looking to revive this nationalist fever dream https://t.co/t5xAfSBDkz']"
1344,['The inability to speak Turkish and interact with the Turkish community is one of the challenges facing Syrian refugees in Turkey when they look for a job. Find out about Hanadi’s story and how she was able to secure employment.\n\nhttps://t.co/GRh29Yznls https://t.co/LIxIaqQdWZ']
1345,['Lebanon’s large refugee population has long given up on their futures in the country. https://t.co/tMHIiwPOpO']
1346,"['@DutchieMartin @Callan23474387 They have In Libya, Turkey and Morocco, all paid by the EU.... try are set up to process illegals. \n The European Union agreed to provide 6 billion euros in humanitarian assistance, education, health care, municipal infrastructure, and socioeconomic support for Syrian refugees']"
1347,"['@GMB @EmilyThornberry STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Racist as refugees don’t only come from Ukraine, currently NO Visa system for legal Afghan and Syrian refugees.']"
1348,['#SyrianArmy #SyrianRefugees #Iraq Fact n fiction book site:Middle east is unstable https://t.co/SzGi3vmJgJ https://t.co/8haeqKLf2p #refugees']
1349,"['third climate change and, of course, they all tie together. Look at the Syrian drought which led to urbanisation, political unrest, civil war and an exodus of nearly one-quarter of the population as refugees.”']"
1350,"['North-West Syria - Shelter &amp; NFI Emergency Overview (April 2022)\n\nCountry: Syrian Arab Republic\n\nSources: Shelter Cluster, UN High Commissioner for Refugees\n\nPlease refer to the attached Infographic.\n\nDisplacement updates in North-West Syria\n\nSome 2.8 mi… https://t.co/OrPzRXULS4 https://t.co/Oy2WHepAlW']"
1351,"['@ArchRose90 Specify the ""legitimate"" concerns, whilst explaining the difference between Ukrainian and Syrian refugees. With a straight face. https://t.co/2PXJySI22K']"
1352,"[""@Oba7000 @TulipSiddiq @AlfDubs Perhaps you've missed the news that for the past half century @AlfDubs has been a prominent campaiger on behalf of all refugees, including securing the #dubsamendment which saved the lives of 480 unaccompanied, mainly Syrian, child refugees? Google is useful.""]"
1353,"['@vrisim @sentdefender 1) Return refugees to those Syrian territories you occupy\n2) Disarm together with Greece, to de-escalte the situation. Instead of making unilateral demands\n3) Amend the Maritime Boundary Treaty with Libya\n4) Return back to peace talk with the Kurds, as this is the only way']"
1354,"['@aldougie_alison @DeanRGrundy @DarrenW97020285 @darrengrimes_ Migrants will generally assimilate better into countries with a similar culture, social structures, food &amp; language to that of their own.\nAnd nobody is suggesting that all Syrian refugees go to one country.']"
1355,['The point.  Made by @adilray and co. and clearly unanswerable. Surely @thequentinletts knows there are no safe and legal routes for Afghani or Syrian refugees. https://t.co/ACLSymusw1']
1356,['The Rwandan government hate Congolese refugees. The UK government hate Syrian refugees. You could think of the #RwandaDeportation policy as a kind of refugee exchange programme.']
1357,"['@Blackie_White @DeanRGrundy @DarrenW97020285 @darrengrimes_ I disagree, I don’t believe for example that Turkey should take majority of Syrian refugees. I also believe that people’s circumstances such as where family members, friends or part of their communities are should be taken into account &amp; their second language if they have one.']"
1358,"['🇨🇭 contributes to the #Lebanon Humanitarian Fund. They both stress the need for a vulnerability based approach.\n\nIn Akkar 🇱🇧 , Lebanese, Syrian #Refugees &amp; migrant workers have now access to essential life-saving services such as primary health care &amp; food security. https://t.co/GaD4MT5OZI']"
1359,"['@kaylapop_ I mean ""refugees"" and migrants are almost exclusively ""rich"" people in a place they lived.\nFor example Syrian migrant does\'t start his jurney to Europe without anything. Every single one of them has at least 5000€.\nI live in Europe and wpuldn\'t know how to get 5 grand rn']"
1360,"['@LouEng19 @PSav80287158 @CarolineLucas March 2021: The UK has just announced the closure of the Syrian Vulnerable Persons Resettlement Scheme (VPRS), which offered safety to 20,000 refugees fleeing the Syrian crisis over the last five years or so.\n\nhttps://t.co/9H460TwZ2A']"
1361,"['@SenateForeign Turks have always diverted attention to try and get what they want! They have extorted help from Europe by using Syrian refugees! Turks illegally invaded Cyprus in 1974 and still illegally occupy with 30,000 Turkish troops since 1974. Turkey did nothing to help Allies in WW 2!']"
1362,['Visited EU-funded projects in Aarsal in Northern Bekaa. ECHO is providing much needed assistance to Syrian refugees and vulnerable Lebanese @eu_echo @echo_MiddleEast @ICRC @UNHCRLebanon @WFPLebanon https://t.co/CgN97D9LVG']
1363,"[""@TulsiGabbard It's nice to see that you can diversify from formerly defending Assad and blocking desperate Syrian refugees from coming to the US, to blaming the current President, who is ostensibly of the same party as you, for inflation that is worldwide.""]"
1364,"[""@murphthesurf Yes fair point. Merkel was a far better person than Howard ever could be, especially on asylum. Brave on Syrian refugees. \nIt's just that long term decisions take time to assess. At the time Howard tax cuts were loved by most voters, but set us up for deficits now.""]"
1365,"[""'Every person has the right to seek safety' — @GhazalMia, a UNHCR Goodwill Ambassador and the first woman Syrian refugee pilot, explains where refugees come from and where they often go #WithRefugees #WorldRefugeeDay (with @Refugees) https://t.co/bXAXCKfyNj""]"
1366,"['@PMalinauskasMP ""Welcoming Ukrainian refugees and advocating for more""\n\nWhat about Syrian refugees?']"
1367,"['@Sniper983241337 @MinnesotaDFL Obama sent 64,000 Syrian refugees to one district in the twin cities now known as “little Mogadishu”, this birthed us the wonderful Ilhan Omar.']"
1368,"['@JeffSamberg @CopenhagenRoxy @CaroCastilloCC @MayraFlores2022 They had a zero goal asylum policy in place until the war in Ukraine. 2021 they only accepted 2100 out of 20,000 claims. Now they want to deport Syrian refugees while taking in Ukrainians"" strain on system financially "". And they pay 3× more in taxes than we do! Roxy is a joke']"
1369,"[""A Security Council resolution allowing @UN to send aid to northwest #Syria through the Turkish border expires soon.\n\nFailure to renew it will have dire humanitarian consequences. \n\nHere's a joint plea from @UNICEF @Refugees @WFP @IOM @UNFPA @UNOCHA @WHO\n\nhttps://t.co/ypye32RH2v""]"
1370,"['@AndreaR9Md I live in IN, where Pence was guv. He refused to increase wages, improve education, improve public health, address climate change, etc. He even tried to keep Syrian refugees from settling in IN... and on and on. However, when you stand next to Trump, everyone looks like good guy.']"
1371,['Turkish authorities tighten the rope on Syrian refugees to force them to return\nhttps://t.co/3dDiNTZTR0']
1372,['Let this be clear: there aren’t any legal route for Afghan and Syrian refugees driven from their own homes by circumstances beyond their control to come here - but there is clear legal route for Ukrainians to come over here ! This is indefensible . Ukrainians aren’t for Rwanda !']
1373,['@WillHardman14 @johnsweeneyroar If these international countries are so concerned why don’t they take them in. Why can’t Hungary Slovakia Serbia take in the Syrian refugees why is it always U.K. France Germany that has to take everyone']
1374,['After Ankara intends to deport refugees.. Protests in a camp for Syrian refugees in Turkey and the police intervene (video)\n #Turkey #Syria #Kahramanmaraş https://t.co/n8P1iI1Jrh']
1375,"[""During the last 70 years, Ethiopian refugees begged Israel to open it's doors, but Israel turned its back.\n\nWhat's more it makes Palestinian, Lebanese and Syrian refugees daily.\n\nSolipsistic, bigoted, and evil https://t.co/uPb1gCv99Q""]"
1376,"['In #Lebanon, @AustAssists deployee Dibya visited an informal settlement for Syrian refugees to understand the impact of gender-based violence on married adolescent girls. Supporting @UNFPA, Dibya is developing reporting systems to better inform efforts to end child marriage. https://t.co/ESXEjUGKiv']"
1377,['Self-rated health and quality of life among Syrian refugees in Ireland – data from a cross-sectional study https://t.co/IW28WDYzP3']
1378,"[""syrian and afghan refugees don't enter greece at all cuz they literally let them die in the sea 😭 https://t.co/JtJcJm66LM""]"
1379,['@AbdelReborn @KenWill34972693 @DavidLawler10 Germany brought in 1m Syrian refugees. Canada regularly takes in close to 1% of it population every year.']
1380,"['@AndyMillburn @m1kebriggs @GMB @adilray @thequentinletts You’ve completely miss understood what is being said. \nHe means safe routes from wherever the Afghan or Syrian refugees have fled to (ie France, Germany etc.) to the uk. They should have the same access to apply online that the Ukrainians have.']"
1381,['@RuthRoberts69 @GMB @adilray @thequentinletts The presenter Interrupted because Letts wasn’t answering the question he asked him. He started blaming the Afghan and Syrian refugees saying they are paying to get around the rules. When “the rules” clearly aren’t the same for Ukrainians.']
1382,['@sundewhiteart @thomsgarden @suadp1995 @Cooperstreaming @blk_dahlia2 @LA_Knight89 @BCMorrow Last year my pinned tweet was a screenshot of an article that talked about how Denmark was deporting Syrian refugees']
1383,['@GMB @adilray @thequentinletts So that’s a No! He doesn’t have a clue why Afghan and Syrian refugees don’t have the same application system as Ukrainians.']
1384,['@GrahamGalton @ArchRose90 Which is all the fault of Syrian refugees because.....???']
1385,"[""@AledHughes84 @LukeBrighto74 @EssexPR A huge number of Syrian refugees have left Syria due to drought, not war. It's getting worse, think on.""]"
1386,"[""@bmay Good question, which he can't answer.\nUkrainian refugees can apply for visas online then fly here. Iranian, Afghan, Yemeni &amp; Syrian people can not. That's why they're being forced to use irregular routes.\n\nWhat is the logic behind this division if it isn't skin colour?""]"
1387,['Lebanon’s large refugee population has long given up on their futures in the country. https://t.co/8Yi7bCu4Ul']
1388,['@BBCNews While hundreds of Syrian and Afghan refugees are in prison camps']
1389,"['@GaryHicks13 @ljames1953 @JamesMc50301897 @anainsin I agree with that, but you should also agree that referendum should never have occurred.\n\nI said at time after looking at the disastrous Quebec ref that caused chaos there.\n\nRussia weaponized refugees during Syrian civil war. FB is trash &amp; CA is part of SCL, Information warfare']"
1390,"[""'Every person has the right to seek safety' — @GhazalMia, a UNHCR Goodwill Ambassador and the first woman Syrian refugee pilot, explains where refugees come from and where they often go #WithRefugees #WorldRefugeeDay (with @Refugees) https://t.co/EzsyytkBnS""]"
1391,"['@piersmorgan Brexit will never work when you have a Tory Gov determined to break laws and their own ethics adviser quitting over sending Syrian and Afghani refugees on flights to Rwanda, some who helped the UK out in the Afghan war yet who tell us to accept Ukranians, a little racist, no.🤔']"
1392,['@greekcitytimes Here is a video of Greece trying to sink a Syrian refugee boat with the refugees in it .Until Turkish coastguard comes to their rescue . \nThis is a crime according to human rights https://t.co/e6NOyZiTGM']
1393,['@andreav84975845 @AlexS1595 @Nintenmarz @SimonJonesNews A large proportion of asylum seekers are adult males. The journey is tough &amp; 1000s of Km’s. Women &amp; children often stay in refugees camps while the younger males make the journey. Many Syrian males in particular are fleeing to avoid joining Isis. \nThe facts are there if you look.']
1394,"[""@RPSuleiman975 @JudgeJoeBrownTV Yep! Europe sending Iraqi and Syrian refugees to Rwanda. The Chinese doing their thing in Africa. If the Africans aren't careful, they will be colonized again, not that they really had their independence.""]"
1395,"[""@TimfromSing @TomFromROAR @andrew_lilico There's no need to be disingenuous: if course they occupy an actual house. As do the Syrian refugees that we know here. But it's not a council house, and my point, which you have not addressed other than to claim that you can't compare us with other countries, stands.""]"
1396,"[""@nomadinatrunk Lol, what massacre do you talk about? \n\nDo you know;\n\n*There are 15 million Kurds in Turkey? (Half of whole Kurdish population worldwide)\n\n*500k Syrian Kurds as refugees getting protected in our land.\n\n*130+ Kurdish MP's in the parliament?\n\nDon't mix terrorists with Kurds.""]"
1397,"['Really, this is what we are looking for in Syria, and we hope that some Turkish citizens who hate Syrians will know why the Syrian refugees are here. https://t.co/agJA0cnoAh']"
1398,['This is so embarrassing on so many levels but mainly that Lebanon (Beirut in particular) does have many refugee camps with horrible living conditions in which generational Palestinian &amp; Syrian refugees are forced into with no ability to leave bc Lebanese ppl view them as lesser https://t.co/oK8dIRMiup']
1399,"[""@boppa81 @campbellclaret @adilray Apparently most are Afghan, Syrian &amp; Iraqi (often Kurds) so I'd say it's a vast majority that up being granted asylum. \n\nProves that the best way to stop the crossings and criminal gangs is to allow refugees to apply from Calais. Or even elsewhere. But Priti and Tories unwilling.""]"
1400,"['Young refugees from the Syrian Civil War and Lebanese youth are using music to raise their voices about the issues that are affecting them.\n\nWatch the full video about how they’re driving change in their lives and their communities this #WorldMusicDay, June 21st. https://t.co/5mq1uiltVy']"
1401,"['@Bathacademic @jessphillips Lebanon took over a million too and they regret it also, they want to send them back. You people are a bit naive to be honest.\n\nhttps://t.co/ZsMA6BVptW']"
1402,"['Replace Hindus with Syrian, Iraqi and Yemeni refugees. Your brothers in blood and religion \n#اطردوا_الهندوس_من_الخليج']"
1403,"[""@Dr_Alan_Harper @jessphillips I can tell you from first-hand experience about Jordan. A country that is largely desert and the second-most water scarce in the world. They've given sanctuary to in excess of 1.5million Syrian refugees fleeing for their lives.""]"
1404,"['@pritipatel Jo Cox from what I have read had tons of compassion and empathy; something you most definitely lack. Her support for Syrian refugees was amazing and so warm-hearted.\n\nThis is about values of decency and integrity, Take David Amess, one of the most liked people who loved his']"
1405,"['Michele Fiore (R), Treasurer, is a member of the Las Vegas City Council. She has no platform, but she does has at least nine controversy tabs on her Wiki. These include support for both Bundy family standoffs, her desire to murder Syrian refugees, &amp; repeated racist comments. https://t.co/1CpolmYgPm']"
1406,['@Gerry_Byrne @InsuranceBureau @IPGS_GovNL This was an issue for Syrian refugees. Some companies recognized their driving experience from home if we had proof of them having been previously licenced. RBC insurance was used.']
1407,"['@foottit_sandra @SimonJonesNews 3.2 million Ukrainian refugees in Poland.\n3.7 million Syrian refugees in Turkey. \nSunak has just spaffed £11,000,000,000 through incompetence. \nGrow up Sandra.']"
1408,"['@RenaNetjes I think the reason of showing this photo to the media is to say to the Syrian refugees: ""do not try to even think about coming back"".']"
1409,"['Replace Hindus with Syrian, Iraqi and Yemeni refugees. Your brothers in blood and religion \n#اطردوا_الهندوس_من_الخليج']"
1410,['There was a power outage yesterday at the Conference at the Palace in #Damascus during the Russian delegation meeting with the Syrian delegation to discuss the return of Syrian refugees.\n#Syria #Russia #Syrianarmy🇸🇾 https://t.co/51ottvhxKo']
1411,"['@Rod__Mason @colinbrazierGBN How are you getting through passport control without the paperwork?\n\nYou’d need a visa if you’re staying other than on holiday. No job, money or place to live. How are you getting a visa?\n\nThere’s no online application for Syrian or Afghan refugees. We’re not offering visas.']"
1412,['Here is a video of Greece trying to sink a Syrian refugee boat with the refugees in it .Until Turkish coastguard comes to their rescue . https://t.co/0EImklku4Y']
1413,['@MrArthurGeorge Do neighbouring Muslim states take Syrian refugees or not.\n\nCan you see how facts work? \n\nIt’s not rocket science! 🤪']
1414,"['@SafirAustralia @leb_relief Syrian refugees will be more than happy to return to their lands in Syria. Ideally your help should be directed to bring them back to their hometowns and lands.\nThank you for the effort, but keep Lebanon in the ""Lebanon Relief"".']"
1415,"[""Refugees are human beings who are going through a difficult experience and life. Also, there is no difference between a Syrian, Afghani, Ukrainian, Yemeni or other refugee. Those People want to live and protect their children from death, and this is a human right, isn't it? 😢 https://t.co/q6j7jloyFx""]"
1416,"['The Syrian regime claims that 2.5 million refugees have returned since 2018, contradicting UN figures.\n\nhttps://t.co/qC1JmvljoO']"
1417,['@ALavoipierre @greta_garbot @Beltring01 @Scarpenter_67 @BeckettUnite @MrsLandDB If this country hadn’t joined in a coalition bombing Syria and destabilising the country we wouldn’t have Syrian refugees escaping a civil war instigated by this country.']
1418,"[""@SimonPerraudin @godpeep_ @whatisjp @_Tq1H @nocontextfooty and who killed george floyed in 2020.\nisn't Russia against the LGBT.\nwho's getting the Syrian refugees families sons in Sweden isn't it the social?""]"
1419,"['Today, we released a new survey report that provides direct insight from Syrian women refugees in the KRI. \n\nThey face a lack of accessible healthcare, legal support to navigate the resettlement process,\xa0and\xa0job opportunities to sustain a stable income, among other challenges. https://t.co/QNF4Z8xv71']"
1420,"['Since the onset of the Syrian conflict in 2011, over 6.8 million people have fled the country, including 3 million women. \n\nAs of 2022, nearly 260,000 Syrian #refugees live in the Kurdistan Region of Iraq (KRI), each carrying the weight of their trauma. https://t.co/fKOuY9T2Vf']"
1421,"[""@jjb3621 We have the largest population of Syrian immigrants in the US in my area. They're great people, &amp; very industrious, busy in the neighborhood.  Yet, when Syria was having trouble, &amp; those same wonderful neighbors offered sanctuary for refugees it went over like a lead balloon here""]"
1422,"['Debate on GMB why there are legal visa systems in place for Ukrainian refugees, but not for Afghan and Syrian refugees.: submitted by  /u/ShibbySmalls  \n [link] [comments] https://t.co/RINBsqUyUJ https://t.co/gl3oorBBug']"
1423,"[""@TywysogM @MartinS64671822 @P_Anticant @politicabot @bonesmal @Nigel_Farage You're not a Briton though, you're a norman bastard's son.\n\nThose of us who ARE britons, accepted you french ingrates, so we've got no problem with syrian refugees.\n\nIf you don't like it, piss off back to northern france!""]"
1424,"['@Yezdixan @dlepeska @NewStatesman First Europeans host way less refugees than their prosperous economies would allow them &amp; rush to pay 🇹🇷 money to keep the ""nasty"" Syrian refugees away from 🇪🇺 lands at any cost &amp; then they complain that 🇹🇷s weak economy cannot provide the refugees with good enough life and work?']"
1425,"[""Lebanon's election does not puncture Syrian refugees pessimism.#MFAUpClose\nhttps://t.co/VgfHI8HZr6""]"
1426,"['The project for the study on water sector for the host communities of Syrian refugees in northern governorates in the Hashemite Kingdom of Jordan : final report\n[東京] : Japan International Cooperation Agency ; [東京] : TEC International, 2017.5\nhttps://t.co/VSRqH4iQ48']"
1427,"['@richimedhurst Syrian??????? 1,000,000 Syrian refugees and 600,000 dead….. a leader who gassed his own people and you think Israel is the problem??????']"
1428,"['@JoeyJarman @mike1101952 @Femi_Sorry Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees. https://t.co/4r86rvu5jV']"
1429,"[""To have the chance to be all that – to have a choice – they need the space to safely explore their potential and the tools to develop it.\n\nThat's the light Luminos brings to Syrian refugees in Shatila and beyond.""]"
1430,"['A few days ago I visited the Shatila Refugee Camp at the outskirts of Beirut. Established in 1949 to host Palestinian refugees, it has experienced an overwhelming influx of Syrian refugees when the war broke out in Syria back in 2011.']"
1431,"['@mike1101952 @Femi_Sorry Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees. https://t.co/4r86rvu5jV']"
1432,"['@ColubaCat @Femi_Sorry STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees.']"
1433,"['@GMB @adilray @thequentinletts With no legal visa systems for Afghan and Syrian, such as for Ukranian refugees, being govt lef so you could say govt encourages the illegal trafficking']"
1434,"['@bmay It’s not difficult, Ukrainian refugees are predominantly women &amp; children whose men are fighting the Russians. Afghan &amp; Syrian refugees are running away rather than fight to make their country better. As such what use would they be if we had an invasion?']"
1435,"['@RomyCerratti @davidaak1991 @ValYoung1963 @PeterStefanovi2 @AndrewMarr9 The government have facilitated the applications for asylum for Ukrainians. They have not done the same for the Syrian refugees. They have forced them in to a corner, and facilitated their smuggling, and bolstered the trade in people.']"
1436,"['A delegation from the Swiss Development Cooperation Agency🇨🇭\xa0visited today 2 projects of the\xa0🇺🇳\xa0@OCHALebanon\xa0in Akkar. They met with Lebanese, Syrian refugees and migrant workers who have access to life-saving services provided by\xa0Lebanon Humanitarian Fund🇱🇧\xa0@lhf_lebanon.\n@CBPFs https://t.co/5CPmTl4J3C']"
1437,['@CWTJ84 @adilray So why are you moaning about Afghan &amp; Syrian refugees?']
1438,['@sigmalore Wonder how they can separate greeks/syrian refugees in greece']
1439,['Don’t believe everything you see. Guess what was edited out of this photo showing Syrian refugees nearly drowning? https://t.co/ARR7KHtnLr']
1440,['@DavidBeckler1 @Hamza_a96 That’s exactly my point. Not forcibly relocating Syrian and Afghan refugees say to somewhere like Rwanda. Why would anyone do that?  Perhaps I wasn’t clear.']
1441,"['However, the current refugee crisis will never be comparable to the cases of Afghani, Syrian and racialized other refugees. Criticising racism/racializing refugees does not mean we do not stand with Ukraine! \n\nThank you!']"
1442,['@catrinaf01 @SkyNews So could Ukrainians but we are either in the international community or were not . Turkey have millions of Syrian and Iranian refugees and so does Jordan with Palestinians and equally so does poor Lebanon . According to your logic Ukrainians are safe in Poland could go Azerbaijan']
1443,['@AstraTd you fought in cyprus ... yes\ncreated by intervening in the Syrian refugees. Yes\nyou used the offers to make more money ... yes\nyou took advantage of the refugees as human traffickers .. spending money to sell them rotten boats .... yes']
1444,['@catrinaf01 @SkyNews I don’t think your getting the point why are Ukrainian refugees welcome with open arms and other refugees don’t get the same policy’s drawn up for them ? Our gov will pay For thousands of Ukrainians to seek refuge in our homes but not a single not one Syrian refugee']
1445,"['@Femi_Sorry STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Migrants, refugees don’t only come from Ukraine, currently NO Visa systems for legal Afghan and Syrian refugees.']"
1446,"[""'I would move heaven and earth to get my precious babies out of there.'\nJo Cox explaining why any parent should welcome Syrian refugees with compassion. I first heard that speech when I had recently become a mother myself.\nUnforgotten.\n#moreincommon""]"
1447,"[""@kevinjgsmith @adilray Answer is that there's more acceptance of Ukrainian refugees by the British public and bringing them is a good political move. Afghan and Syrian refugees are not accepted and would be a bad political move. It's politics in both instances, not compassion.""]"
1448,"['@MdChristos @sardiniansunset @bulutuzay_ @algalitsky The handful of Syrian refugees liked the way Greeks treated them so much that they burnt their own tents..or was it Greek right wing? Neither does make the Greek hospitality look good, does it?']"
1449,"['@AndyMillburn @PhillWatson1970 @susanmo22312346 @BelfastBlue1 @GMB @adilray @thequentinletts Quite but you seem to be suggesting, Ukrainian refugees with a safe scheme = good people, Syrian refugees no safe route on a boat= bad people.']"
1450,['@MrArthurGeorge You said the neighbouring states didn’t take Syrian refugees - so I gave you stats on 3 of the neighbouring states showing them taking literally millions more than we are 🤷\u200d♀️']
1451,"[""@aravosis What kind of fucking antisemitic thing is this to say?! Little tiny Israel u hold to higher standard than other countries, while they took in THOUSANDS OF UKRAINIAN REFUGEES, set up hospitals, negotiated with Russia on Ukraine's request, WHILE Russia on their Syrian enemy border! https://t.co/mCaKHzMggU""]"
1452,"['@fundamentalfund @LindseySnell @kilicdarogluk Now you started looking into reasons, good, beyond reasons what I said was obviously about the general discomfort. And the reason I mentioned that was to show the bigger picture of Syrian refugees in Turkey, not a few entered illegally and sent to return centers but 4 millions+']"
1453,"['@GayleJarman22 @GMB @adilray @DominicRaab No, that’s why most of them settle in other parts of Europe. Those that do come here do so for reasons such as family, or because English is widely spoken. Even so, we still take less than the rest of Europe.\n\nI taught Syrian refugees for two years, it’s certainly an eye-opener.']"
1454,"[""Back tf up a moment.............\nSo white Ukrainian refugees can apply for asylum on line?\nAfghan and Syrian refugees suffering war as above can't!\nUK criteria for asylum apps based on skin colour?\nThis is racist, whatever way you cut this shit. Don't tell me otherwise!""]"
1455,"[""@MonkEmma But seeking asylum is an excuse for economic migrant. There is no fact to the contrary. You may think you can account for it but you can't. Besides, why should we accept Syrian refugees when neighbouring Muslim states don't? Why are they fleeing France. They want to get here""]"
1456,['@AdsStace @GMB @adilray @thequentinletts We discovered that Letts is unwilling to admit there are no safe routes for afghan or Syrian refugees.']
1457,['Syrian Refugees Find Little Hope in Lebanon’s\xa0Election https://t.co/JnMKvdgQYZ']
1458,['@SkyNews What about Ukrainian refugees fleeing a war zone why are they different to Syrian refugees']
1459,"[""The Numbers Language is Unquestionable &amp; Stubborn Language , According To The German's Officials On Syrian Refugees Is That The Merkel's Decision Was A Disaster On The German Security &amp; Society. 97%  Of Them disintegrated. Only 12% Working , 14% Psychically Sick , 1/2 Stay Tunned""]"
1460,"['@STJ_SYRIA_ENG spoke to Syrian detainees in a similar situation being held in Suruç earlier this year, another former refugee camp now being used to hold detainees prior to deporation\n\nhttps://t.co/WTBqY0Q4Yz']"
1461,"['Clashes yesterday between Turkish authorities and Syrian refugees recently detained as part of Turkey\'s ""voluntary return"" policy, at a deportation camp in Maraş\n\n~37.441457, 37.013868 https://t.co/KYw22olVml']"
1462,"[""Thank you for your continuous support! Because of your donations, we've been able to provide jobs, bread and support to Syrian refugees. \n\nSustainable Projects through Networks of Scholars https://t.co/362MsRc7Wx""]"
